rank,player,lb_mmr,current_mmr,avg_place,games
1,hsmt,18738,18738,2.2348643006263047,479
2,mathrais,18134,18134,2.714675767918089,1465
3,slyders,18074,18074,2.5099778270509976,902
4,леший,17828,17828,2.768032786885246,1220
5,стоякбездела,17500,17500,2.3427762039660056,353
6,filpek,17018,17018,2.8668012108980827,991
7,doud78,16589,16589,2.914565826330532,1071
8,catlamity,16113,16113,3.041989664082687,774
9,tristrat,16108,16108,3.0879699248120303,665
10,mativ,16048,16048,3.036242603550296,676
11,oliech,15978,15978,2.8019911504424777,904
12,fcpopa,15957,15957,3.28564453125,1024
13,guddummit,15916,15916,3.146125116713352,1071
14,jkirek,15686,15686,3.026639344262295,488
15,benren,15677,15677,2.929471032745592,794
16,mario68,15654,15654,3.099495313626532,1387
17,zorg,15593,15593,2.8069620253164556,632
18,latzinn,15438,15438,3.2703296703296703,910
19,goblack,15356,15356,3.1123076923076924,650
20,jackbeam,15354,15354,3.1201754385964913,570
21,nightknight,15284,15284,3.4083204930662556,649
22,vladelisha,15069,15069,3.11839863713799,587
23,scorlio67,15059,15059,2.846504559270517,329
24,felkeine,14888,14888,3.284823284823285,481
25,xqn,14868,14868,2.8812154696132595,362
26,onyxsatyr,14776,14776,3.2960526315789473,304
27,vengevyne,14645,14645,3.3552631578947367,532
28,radiy,14638,14638,3.052980132450331,453
29,stromae,14595,14595,3.4922867513611617,1102
30,kekandop,14552,14552,3.2877994011976046,1336
31,benice,14548,14548,3.29701230228471,1138
32,calient,14490,14490,3.15,560
33,gap1698,14461,14461,3.3330188679245283,530
34,saylore,14459,14459,3.2735674676524953,541
35,elisha,14416,14416,3.0098684210526314,304
36,tigrespettro,14372,14372,3.406906906906907,666
37,opasanta,14263,14263,3.2645089285714284,896
38,cuckchromo47,14235,14235,3.4652862362971986,821
39,bcemudachi,14226,14226,3.619360902255639,532
40,hahaxd,14224,14224,3.3230769230769233,520
41,ixxdeee,14209,14209,3.3569277108433737,664
42,fullmaster,14170,14170,3.3109756097560976,820
43,polskikabak,14134,14134,3.3308457711442787,1005
44,superjj,14074,14074,3.383666274970623,851
45,rdu,14033,14033,3.4517543859649122,912
46,kawazaki,14019,14019,3.3562058526740666,991
47,redeagle,14005,14005,3.3920863309352516,556
48,llwinner,13993,13993,3.278735632183908,522
49,thunder,13975,13975,3.267475035663338,701
50,mathematics,13894,13894,3.5025906735751295,772
51,kodo,13871,13871,3.4238578680203045,591
52,term1nator,13852,13852,3.549916805324459,601
53,irossoneri,13848,13848,3.405888030888031,1036
54,shadybunny,13809,13809,3.21651376146789,545
55,juanbezbar,13699,13699,3.415944540727903,577
56,explosion,13695,13695,3.4648876404494384,356
57,superpupik,13679,13679,3.285919540229885,348
58,blizzaars2,13649,13649,3.2613941018766757,373
59,gospodar,13624,13624,3.1640866873065017,323
60,hgl223,13620,13620,3.2762762762762763,333
61,justmastery,13578,13578,3.3313131313131312,495
62,вадимпивти,13562,13562,3.5563829787234043,470
63,杨总盐城法国人,13541,13541,3.369565217391304,345
64,cytro,13510,13510,3.3680926916221035,561
65,ildavis,13473,13473,3.687323943661972,710
66,viv86,13469,13469,3.4641319942611193,697
67,chenfu,13322,13322,3.239247311827957,372
68,yatech,13280,13280,3.7237678855325913,1258
69,chatonrêveur,13274,13274,3.58485401459854,548
70,cheramy,13272,13272,3.5,691
71,okaberintaro,13259,13259,2.916243654822335,197
72,olinho,13257,13257,3.3658088235294117,544
73,darnell,13219,13219,3.560379241516966,1002
74,dogbiscuit,13201,13201,3.37984496124031,1032
75,ssk,13193,13193,3.6577380952380953,672
76,regina,13126,13126,3.6401408450704227,710
77,mako,13118,13118,3.6312803889789302,617
78,advo,13115,13115,3.5183150183150182,546
79,koshchei,13096,13096,3.130434782608696,230
80,lydian,13026,13026,3.246598639455782,294
81,lagshya,13024,13024,3.6409313725490198,408
82,jeefsbrother,13001,13001,3.6800373134328357,536
83,机智的海豹,12977,12977,3.3956521739130436,345
84,justinbridou,12973,12973,3.4852476290832457,949
85,arslanlegend,12906,12906,2.6473214285714284,112
86,ghost,12905,12905,3.6587301587301586,945
87,tchu,12876,12876,3.5636363636363635,385
88,ravens52,12875,12875,3.6896008403361344,952
89,bibma,12834,12834,3.764411027568922,798
90,samuello,12833,12833,3.8443708609271523,1661
91,skalmanleif,12804,12804,2.875,128
92,iamnraged,12798,12798,3.8177676537585423,878
93,hexur,12774,12774,3.6150121065375305,413
94,vika,12759,12759,3.653482880755608,847
95,nick,12740,12740,3.5353871773522063,1201
96,gr0nas,12732,12732,3.5453846153846156,650
97,ytr,12708,12708,3.6489675516224187,339
98,rudolfohs,12666,12666,3.7653631284916202,1611
99,среброкрыл,12659,12659,3.1469072164948453,194
100,fishou,12638,12638,3.6357758620689653,464
101,lakakaya,12614,12614,3.2569169960474307,253
102,gewiss94,12603,12603,3.691860465116279,516
103,nocre1992,12588,12588,3.8258122743682312,1108
104,thewonderboy,12577,12577,3.7111459968602825,1274
105,sinedd92,12561,12561,3.5486425339366514,442
